??/?????/???,???????,CO,O3, NO2, SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170101,100,0.5,3,2,2,33,60,26.2,240,0.7,
170101,200,0.5,1,4,2,33,60,25.9,238,0.9,
170101,300,0.5,1,2,2,34,61,25.4,259,1.1,
170101,400,0.5,0,1,2,36,62,25,267,0.9,
170101,500,0.5,0,0,2,36,64,24.9,237,0.1,
170101,600,0.4,0,0,2,32,65,25,248,0,
170101,700,0.5,0,0,2,30,67,24.4,248,0.1,
170101,800,0.5,13,0,3,30,67,24.6,179,0.4,
170101,900,0.4,21,0,2,19,65,25,179,0.3,
170101,1000,0.5,12,0,3,12,59,27.2,232,0.4,
170101,1100,0.5,28,0,3,4,53,28.6,201,0.4,
170101,1200,0.4,47,0,2,63,52,29,183,0.6,
170101,1300,0.4,53,0,2,49,52,29.6,186,0.9,
170101,1400,0.5,41,0,2,32,51,30.2,187,0.7,
170101,1500,,,,,52,52,29.9,191,1,
170101,1600,0.5,20,0,2,45,53,30,186,0.9,
170101,1700,0.5,42,0,2,51,55,29.5,188,1,
170101,1800,0.5,61,0,2,42,58,28.5,183,0.8,
170101,1900,0.5,47,0,2,39,60,28,180,0.6,
170101,2000,0.6,44,0,1,51,66,27.3,187,0.8,
170101,2100,0.5,45,0,1,52,71,26,192,1.2,
170101,2200,0.5,43,0,1,39,74,26,186,1.1,
170101,2300,0.5,28,0,1,38,75,25.6,180,0.9,
170101,2400,0.5,11,0,1,31,75,25.4,183,1,
170102,100,0.4,9,0,2,37,77,25.3,190,0.7,
170102,200,0.4,6,0,3,33,80,24.8,183,0.9,
170102,300,0.4,4,0,2,35,93,24.2,188,1,
170102,400,0.4,1,0,1,33,99,23.8,184,0.5,
170102,500,0.4,0,0,2,36,100,23.4,175,0.5,
170102,600,0.4,0,0,2,27,100,23,176,0.7,
170102,700,0.4,0,0,2,31,100,23.3,178,0.8,
170102,800,0.5,0,0,2,26,98,24,184,0.7,
170102,900,0.5,12,0,2,14,84,26,192,0.5,
170102,1000,0.6,30,0,3,2,60,28.9,218,1.2,
170102,1100,0.5,30,0,2,22,54,30.1,221,1.3,
170102,1200,0.5,31,0,2,63,52,31,222,0.8,
170102,1300,0.4,39,0,2,38,50,31.3,220,0.6,
170102,1400,,,,,19,49,31.7,244,0.8,
170102,1500,0.5,20,0,1,31,48,31.7,271,0.5,
170102,1600,0.5,33,2,2,36,50,31.3,182,0.4,
170102,1700,0.5,30,1,2,46,52,31,208,0.1,
170102,1800,0.5,26,0,2,26,53,30.6,184,0.1,
170102,1900,0.7,9,5,2,36,56,29.9,180,0.1,
170102,2000,0.7,7,4,2,53,59,29.5,165,0.1,
170102,2100,0.5,6,0,2,40,62,29,182,0.7,
170102,2200,0.5,0,0,1,47,65,28.4,179,0.7,
170102,2300,0.5,0,0,2,40,66,28.2,184,0.4,
170102,2400,0.5,0,0,2,42,69,27.7,193,0.3,
170103,100,0.5,0,0,3,45,72,27.4,193,0.2,
170103,200,0.5,11,0,3,35,74,26.9,184,0,
170103,300,0.5,19,0,3,40,75,26.6,201,0,
170103,400,0.6,13,0,3,40,75,26.3,228,0.1,
170103,500,0.5,7,2,2,21,71,26.3,235,0.3,
170103,600,0.6,0,1,2,59,87,25,121,0.1,
170103,700,0.6,0,1,2,37,83,25.2,65,0,
170103,800,1.1,0,7,3,38,73,26,289,0.3,
170103,900,0.8,0,7,2,23,65,27,286,1,
170103,1000,0.7,0,2,2,12,56,29.2,264,1.5,
170103,1100,0.6,12,0,2,59,58,28.5,281,1,
170103,1200,0.6,12,3,2,46,58,29,268,0.9,
170103,1300,,,,,47,56,29.8,225,0.8,
170103,1400,0.4,22,1,2,48,56,30.2,202,0.8,
170103,1500,0.5,21,4,2,40,56,30.6,237,0.8,
170103,1600,0.5,22,1,2,33,56,29.9,197,0.8,
170103,1700,0.6,18,0,2,39,58,29.5,179,0.7,
170103,1800,0.5,14,1,2,55,63,28.4,179,0.7,
170103,1900,0.5,6,0,2,35,64,27.8,184,0.5,
170103,2000,0.5,0,0,3,33,64,27.6,170,0.2,
170103,2100,0.5,0,0,3,26,64,28,183,0.2,
170103,2200,0.5,0,0,5,37,65,27.6,183,0.2,
170103,2300,0.5,0,0,5,30,66,27.6,176,0.1,
170103,2400,0.4,0,0,4,33,66,27.6,197,0.1,
170104,100,0.5,0,0,5,32,68,27.2,177,0.2,
170104,200,0.4,1,0,4,36,68,26.9,176,0.4,
170104,300,0.4,0,0,2,34,72,26.3,170,0.4,
170104,400,0.4,0,0,3,51,77,25.7,181,0.2,
170104,500,0.6,3,1,4,44,76,25.6,263,0.4,
170104,600,0.9,6,6,4,51,74,26,259,0.6,
170104,700,1.2,3,8,4,57,72,25.9,259,0.5,
170104,800,1.3,0,10,4,70,69,26.4,276,0.4,
170104,900,1,0,9,4,59,66,27,297,0.6,
170104,1000,0.7,0,4,3,25,57,29.1,289,1.1,
170104,1100,0.5,3,0,3,15,49,30.5,285,1.3,
170104,1200,,,,,74,50,30,264,1.4,
170104,1300,0.5,3,0,2,54,52,30.2,257,1.3,
170104,1400,0.5,5,2,2,29,51,30.3,283,1.1,
170104,1500,0.6,6,6,2,45,52,30.4,268,0.9,
170104,1600,0.7,6,12,3,60,53,30,293,0.7,
170104,1700,0.9,5,16,3,85,55,30,268,0.4,
170104,1800,1.1,8,18,3,91,59,29,262,0.4,
170104,1900,1.2,0,18,3,85,57,29.2,280,0.4,
170104,2000,1.2,0,18,3,68,57,29.2,270,0.2,
170104,2100,1,0,18,3,62,58,29,263,0.2,
170104,2200,0.8,0,16,2,60,63,28.6,159,0,
170104,2300,0.8,0,23,2,69,67,28.1,134,0,
170104,2400,0.7,0,15,2,66,69,27.7,151,0,
170105,100,0.6,0,11,3,65,71,27.5,101,0,
170105,200,0.5,0,10,3,53,71,27.1,150,0.1,
170105,300,0.4,3,10,5,24,66,27,205,0.1,
170105,400,0.4,8,7,5,37,66,27,214,0.1,
170105,500,0.4,10,5,4,31,65,26.8,218,0.5,
170105,600,0.5,11,5,4,45,65,27,207,0.4,
170105,700,1,3,13,5,59,65,26.6,227,0.5,
170105,800,1.1,0,12,4,75,62,28,219,1,
170105,900,0.9,0,13,5,58,59,29,213,0.9,
170105,1000,0.7,0,9,5,64,56,29.5,222,0.7,
170105,1100,,,,,29,51,31,211,0.5,
170105,1200,0.6,1,6,3,93,50,31,232,0.4,
170105,1300,0.7,0,11,3,77,49,31.2,257,0.6,
170105,1400,0.6,4,8,3,55,52,31,187,0.4,
170105,1500,0.6,5,4,3,75,55,31,177,0.4,
170105,1600,0.8,20,9,3,76,58,29.8,186,0.8,
170105,1700,0.6,42,1,4,80,59,29.4,181,0.9,
170105,1800,0.7,41,1,2,79,67,28.5,180,0.8,
170105,1900,0.6,24,1,2,67,74,27.4,185,0.9,
170105,2000,0.6,6,0,2,66,75,27,186,0.8,
170105,2100,0.5,3,0,2,59,75,26.8,184,0.7,
