??/?????/???,???????,CO,O3,NO2,SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170101,100,0.5,35,0,2,52,60,25.4,9,0.6,
170101,200,0.5,31,0,2,43,60,25,17,0.6,
170101,300,0.5,29,0,2,50,62,24.6,16,0.6,
170101,400,0.5,27,0,3,54,64,24.4,19,0.5,
170101,500,0.5,24,0,2,52,65,24,12,0.6,
170101,600,-,-,-,-,49,67,23.8,8,0.6,
170101,700,0.5,23,0,3,49,71,23.3,335,0.6,
170101,800,0.5,23,0,3,42,69,23.6,334,0.6,
170101,900,0.6,27,0,4,42,66,24.5,347,0.6,
170101,1000,0.5,38,0,3,42,59,26.4,8,0.6,
170101,1100,0.5,51,0,2,44,51,28.7,25,0.5,
170101,1200,0.5,63,0,3,39,49,29.6,345,0.6,
170101,1300,0.5,70,0,4,37,48,30.1,351,0.7,
170101,1400,0.5,73,0,3,48,47,30.7,348,0.7,
170101,1500,0.5,74,0,2,46,49,30,354,0.7,
170101,1600,0.5,70,0,2,48,50,29.9,1,0.7,
170101,1700,0.5,67,0,2,44,55,28.8,335,1.2,
170101,1800,0.5,58,0,3,35,58,27.9,343,0.7,
170101,1900,0.6,46,0,3,40,62,27,338,0.6,
170101,2000,0.6,40,0,2,49,67,26.4,334,0.7,
170101,2100,0.6,40,0,2,52,72,25.7,343,0.6,
170101,2200,0.5,37,0,2,51,75,25.2,349,0.7,
170101,2300,0.5,35,0,2,44,76,24.9,344,0.9,
170101,2400,0.5,32,0,6,55,75,24.8,345,1.2,
170102,100,0.6,31,0,5,51,77,24.5,343,0.8,
170102,200,0.5,29,0,2,45,79,24.2,347,0.8,
170102,300,0.6,24,0,5,41,86,23.5,344,0.7,
170102,400,0.6,19,0,3,55,92,23,341,0.8,
170102,500,-,-,-,-,57,96,22.7,342,0.7,
170102,600,0.5,20,0,3,49,97,22.6,349,0.7,
170102,700,0.5,17,0,2,51,98,22.5,339,0.6,
170102,800,0.5,15,0,4,47,95,22.9,334,0.6,
170102,900,0.5,19,0,4,38,89,24,351,0.6,
170102,1000,0.5,26,0,3,54,72,26.9,8,0.7,
170102,1100,0.5,40,0,2,44,58,29.2,7,0.8,
170102,1200,0.5,54,0,1,36,52,30.7,6,0.6,
170102,1300,0.5,60,0,2,38,49,31.8,16,0.6,
170102,1400,0.5,61,0,2,39,46,32.6,22,0.5,
170102,1500,0.5,64,0,2,36,50,31.5,352,0.6,
170102,1600,0.5,61,0,2,35,51,31.1,2,0.6,
170102,1700,0.5,59,0,2,36,51,31.2,8,0.5,
170102,1800,0.5,55,0,2,31,53,30.2,1,0.6,
170102,1900,0.6,42,0,2,38,58,29.1,353,0.6,
170102,2000,0.8,26,0,4,68,65,28.2,345,0.6,
170102,2100,0.7,27,0,4,70,70,27.9,336,0.6,
170102,2200,0.6,35,0,2,63,74,27.3,345,0.6,
170102,2300,0.6,32,0,2,61,75,27,346,0.6,
170102,2400,0.6,27,0,5,64,77,26.5,335,0.6,
170103,100,0.6,22,0,6,57,81,25.9,337,0.6,
170103,200,0.6,20,0,6,43,80,25.9,344,0.6,
170103,300,0.6,21,0,3,56,76,26.2,357,0.6,
170103,400,-,-,-,-,52,75,25.9,16,0.6,
170103,500,0.5,20,0,2,59,70,25.9,31,0.6,
170103,600,0.6,16,0,3,46,76,25.2,334,0.6,
170103,700,0.6,7,0,7,48,83,24.3,339,0.5,
170103,800,0.7,8,0,4,46,82,24.6,76,0.4,
170103,900,0.7,15,0,2,53,75,25.8,92,0.6,
170103,1000,0.6,20,0,2,75,64,27.6,85,0.8,
170103,1100,0.5,24,0,2,72,58,29.1,96,0.6,
170103,1200,0.5,29,0,1,56,58,28.9,52,0.5,
170103,1300,0.5,36,0,2,44,60,28.5,357,0.6,
170103,1400,0.5,49,0,2,38,60,29.2,343,0.8,
170103,1500,0.5,53,0,3,48,54,30.4,353,0.6,
170103,1600,0.5,41,0,3,44,54,29.9,6,0.6,
170103,1700,0.5,41,0,3,50,56,29.3,348,0.7,
170103,1800,0.5,41,0,2,39,64,28,339,0.7,
170103,1900,0.6,31,0,3,59,67,27.1,345,0.6,
170103,2000,0.6,25,0,3,76,68,26.8,345,0.6,
170103,2100,0.6,16,0,5,72,69,26.6,333,0.6,
170103,2200,0.6,18,0,7,32,71,26.4,333,0.6,
170103,2300,0.6,13,0,8,40,74,26.1,343,0.6,
170103,2400,0.6,14,0,9,62,74,26.2,346,0.6,
170104,100,0.6,10,0,20,57,75,25.9,349,0.6,
170104,200,0.6,16,0,15,50,75,25.7,341,0.6,
170104,300,-,-,-,-,59,79,25,336,0.6,
170104,400,0.6,16,0,5,60,86,24.4,338,0.6,
170104,500,0.6,12,0,5,63,89,24.1,10,0.6,
170104,600,0.6,4,0,3,60,87,24.2,31,0.6,
170104,700,0.6,2,0,3,62,81,24.7,8,0.6,
170104,800,0.6,3,0,4,65,76,25.1,9,0.6,
170104,900,0.8,5,0,4,56,73,25.9,50,0.5,
170104,1000,0.9,11,0,4,72,70,27.2,95,0.5,
170104,1100,0.5,23,0,2,81,60,29.4,110,0.6,
170104,1200,0.4,30,0,2,55,52,30.4,101,0.7,
170104,1300,0.4,32,0,2,48,54,30.1,85,0.7,
170104,1400,0.4,40,0,2,44,54,30.3,75,0.6,
170104,1500,0.5,46,0,2,50,54,30.3,67,0.5,
170104,1600,0.4,48,0,2,53,54,30.2,22,0.4,
170104,1700,0.5,62,0,3,64,62,29.1,345,0.6,
170104,1800,0.5,61,0,4,63,63,28.7,343,0.6,
170104,1900,0.7,33,0,3,79,66,28.1,53,0.4,
170104,2000,0.9,8,1,2,71,65,27.8,92,0.6,
170104,2100,0.8,6,2,2,64,66,27.7,51,0.4,
170104,2200,0.8,6,2,2,58,68,27.6,355,0.6,
170104,2300,0.8,8,3,5,74,74,27.2,335,0.6,
170104,2400,0.7,6,3,6,97,75,27,331,0.6,
170105,100,0.8,5,5,7,96,75,26.9,2,0.6,
170105,200,-,-,-,-,79,71,26.5,344,0.6,
170105,300,0.5,6,2,7,75,69,26.3,360,0.6,
170105,400,0.5,7,0,6,69,71,25.9,1,0.6,
170105,500,0.4,12,0,6,65,68,25.8,9,0.6,
170105,600,0.4,16,0,2,63,68,25.6,360,0.6,
170105,700,0.5,14,0,3,60,68,25.5,3,0.6,
170105,800,0.5,12,0,3,57,66,25.9,4,0.6,
170105,900,0.5,18,0,2,63,65,26.6,358,0.8,
170105,1000,0.5,23,0,2,68,61,28.2,3,0.6,
170105,1100,0.5,34,0,3,69,55,29.8,359,0.7,
170105,1200,0.5,47,0,2,71,51,31,359,0.7,
170105,1300,0.5,54,0,2,80,50,31.3,9,0.6,
170105,1400,0.5,58,0,2,61,50,31.1,17,0.6,
170105,1500,0.5,64,0,2,66,51,31.5,1,0.6,
170105,1600,0.5,56,0,3,60,61,29.2,334,1.1,
170105,1700,0.5,45,0,4,78,61,29,345,0.8,
170105,1800,0.5,41,0,4,74,68,28.2,343,0.9,
170105,1900,0.6,37,0,3,78,79,26.8,344,0.7,
170105,2000,0.6,32,0,2,88,80,26.3,347,0.7,
170105,2100,0.5,28,0,2,79,81,26,349,0.7,
170105,2200,0.5,25,0,2,55,80,25.7,343,0.8,
170105,2300,0.5,19,0,4,62,79,25.7,356,0.7,
170105,2400,0.5,21,0,4,68,78,25.6,3,1,
170106,100,-,-,-,-,81,79,25.3,357,0.7,
170106,200,0.5,18,0,2,98,82,24.8,344,0.7,
170106,300,0.5,13,0,6,-,85,23.8,342,1,
170106,400,-,-,-,-,-,-,-,-,-,
170106,500,-,-,-,-,-,-,-,-,-,
170106,600,-,-,-,-,-,-,-,-,-,
170106,700,-,-,-,-,-,-,-,-,-,
170106,800,-,-,-,-,-,-,-,-,-,
170106,900,-,-,-,-,-,-,-,-,-,
170106,1000,-,-,-,-,-,-,-,-,-,
170106,1100,-,-,-,-,-,-,-,-,-,
170106,1200,-,-,-,-,-,-,-,-,-,
170106,1300,-,-,-,-,-,-,-,-,-,
170106,1400,-,-,-,-,-,-,-,-,-,
170106,1500,-,-,-,-,-,-,-,-,-,
170106,1600,-,-,-,-,-,-,-,-,-,
170106,1700,-,-,-,-,-,-,-,-,-,
170106,1800,-,-,-,-,-,-,-,-,-,
170106,1900,-,-,-,-,-,-,-,-,-,
170106,2000,-,-,-,-,-,-,-,-,-,
170106,2100,-,-,-,-,-,-,-,-,-,
170106,2200,-,-,-,-,-,-,-,-,-,
170106,2300,-,-,-,-,-,-,-,-,-,
170106,2400,-,-,-,-,-,-,-,-,-,
170107,100,-,-,-,-,-,-,-,-,-,
170107,200,-,-,-,-,-,-,-,-,-,
170107,300,-,-,-,-,-,-,-,-,-,
170107,400,-,-,-,-,-,-,-,-,-,
170107,500,-,-,-,-,-,-,-,-,-,
170107,600,-,-,-,-,-,-,-,-,-,
170107,700,-,-,-,-,-,-,-,-,-,
