date_time,wind speed,wind dir
2018-01-01 01:00,18,85
2018-01-01 04:00,17,85
2018-01-01 07:00,18,80
2018-01-01 10:00,20,75
2018-01-01 13:00,17,70
2018-01-01 16:00,16,55
2018-01-01 19:00,18,50
2018-01-01 22:00,19,75
2018-01-02 01:00,23,80
2018-01-02 04:00,24,80
2018-01-02 07:00,24,80
2018-01-02 10:00,22,80
2018-01-02 13:00,17,70
2018-01-02 16:00,16,55
2018-01-02 19:00,14,60
2018-01-02 22:00,17,75
2018-01-03 01:00,21,95
2018-01-03 04:00,21,105
2018-01-03 07:00,20,105
2018-01-03 10:00,18,90
2018-01-03 13:00,12,70
2018-01-03 16:00,12,50
2018-01-03 19:00,15,70
2018-01-03 22:00,17,80
2018-01-04 01:00,16,75
2018-01-04 04:00,13,75
2018-01-04 07:00,11,95
2018-01-04 10:00,9,80
2018-01-04 13:00,6,85
2018-01-04 16:00,7,35
2018-01-04 19:00,11,45
2018-01-04 22:00,15,60
2018-01-05 01:00,15,70
2018-01-05 04:00,15,70
2018-01-05 07:00,17,75
2018-01-05 10:00,17,80
2018-01-05 13:00,11,90
2018-01-05 16:00,9,75
2018-01-05 19:00,11,80
2018-01-05 22:00,17,80
2018-01-06 01:00,20,90
2018-01-06 04:00,20,105
2018-01-06 07:00,14,95
2018-01-06 10:00,15,100
2018-01-06 13:00,13,100
2018-01-06 16:00,6,90
2018-01-06 19:00,11,80
2018-01-06 22:00,10,80
2018-01-07 01:00,12,105
2018-01-07 04:00,12,115
2018-01-07 07:00,21,135
2018-01-07 10:00,23,150
2018-01-07 13:00,22,155
2018-01-07 16:00,20,160
2018-01-07 19:00,18,170
2018-01-07 22:00,16,170
2018-01-08 01:00,24,150
2018-01-08 04:00,24,145
2018-01-08 07:00,27,145
2018-01-08 10:00,24,140
2018-01-08 13:00,15,145
2018-01-08 16:00,12,145
2018-01-08 19:00,9,135
2018-01-08 22:00,7,100
2018-01-09 01:00,11,95
2018-01-09 04:00,15,90
2018-01-09 07:00,21,90
2018-01-09 10:00,26,90
2018-01-09 13:00,18,95
2018-01-09 16:00,12,70
2018-01-09 19:00,14,70
2018-01-09 22:00,11,75
2018-01-10 01:00,5,100
2018-01-10 04:00,8,70
2018-01-10 07:00,9,95
2018-01-10 10:00,6,115
2018-01-10 13:00,12,315
2018-01-10 16:00,10,20
2018-01-10 19:00,8,15
2018-01-10 22:00,9,5
2018-01-11 01:00,14,75
2018-01-11 04:00,15,85
2018-01-11 07:00,13,75
2018-01-11 10:00,15,70
2018-01-11 13:00,21,75
2018-01-11 16:00,21,70
2018-01-11 19:00,18,70
2018-01-11 22:00,19,80
2018-01-12 01:00,13,70
2018-01-12 04:00,20,60
2018-01-12 07:00,27,65
2018-01-12 10:00,26,70
2018-01-12 13:00,23,70
2018-01-12 16:00,18,60
2018-01-12 19:00,14,60
2018-01-12 22:00,19,80
2018-01-13 01:00,9,20
2018-01-13 04:00,15,35
2018-01-13 07:00,18,60
2018-01-13 10:00,21,70
2018-01-13 13:00,23,70
2018-01-13 16:00,18,60
2018-01-13 19:00,22,80
2018-01-13 22:00,24,80
2018-01-14 01:00,24,75
2018-01-14 04:00,22,70
2018-01-14 07:00,19,65
2018-01-14 10:00,19,65
2018-01-14 13:00,17,55
2018-01-14 16:00,18,40
2018-01-14 19:00,20,60
2018-01-14 22:00,22,75
2018-01-15 01:00,20,70
2018-01-15 04:00,20,75
2018-01-15 07:00,19,115
2018-01-15 10:00,16,115
2018-01-15 13:00,11,75
2018-01-15 16:00,7,50
2018-01-15 19:00,8,140
2018-01-15 22:00,10,160
2018-01-16 01:00,10,205
2018-01-16 04:00,10,200
2018-01-16 07:00,13,205
2018-01-16 10:00,10,205
2018-01-16 13:00,6,235
2018-01-16 16:00,4,330
2018-01-16 19:00,4,325
2018-01-16 22:00,4,5
2018-01-17 01:00,5,55
2018-01-17 04:00,6,30
2018-01-17 07:00,5,35
2018-01-17 10:00,7,60
2018-01-17 13:00,5,45
2018-01-17 16:00,9,15
2018-01-17 19:00,11,40
2018-01-17 22:00,11,70
2018-01-18 01:00,12,80
2018-01-18 04:00,12,85
2018-01-18 07:00,10,80
2018-01-18 10:00,10,70
2018-01-18 13:00,11,50
2018-01-18 16:00,12,30
2018-01-18 19:00,15,30
2018-01-18 22:00,15,50
2018-01-19 01:00,14,60
2018-01-19 04:00,17,60
2018-01-19 07:00,19,60
2018-01-19 10:00,20,60
2018-01-19 13:00,15,55
2018-01-19 16:00,14,35
2018-01-19 19:00,14,55
2018-01-19 22:00,17,80
2018-01-20 01:00,14,50
2018-01-20 04:00,18,45
2018-01-20 07:00,21,70
2018-01-20 10:00,21,80
2018-01-20 13:00,16,80
2018-01-20 16:00,15,65
2018-01-20 19:00,16,65
2018-01-20 22:00,18,70
2018-01-21 01:00,16,75
2018-01-21 04:00,17,70
2018-01-21 07:00,17,70
2018-01-21 10:00,17,70
2018-01-21 13:00,8,40
2018-01-21 16:00,9,20
2018-01-21 19:00,14,35
2018-01-21 22:00,18,50
2018-01-22 01:00,17,55
2018-01-22 04:00,17,50
2018-01-22 07:00,18,50
2018-01-22 10:00,20,50
2018-01-22 13:00,13,40
2018-01-22 16:00,10,40
2018-01-22 19:00,14,55
2018-01-22 22:00,16,45
2018-01-23 01:00,11,60
2018-01-23 04:00,11,65
2018-01-23 07:00,13,85
2018-01-23 10:00,15,80
2018-01-23 13:00,8,60
2018-01-23 16:00,8,40
2018-01-23 19:00,10,55
2018-01-23 22:00,14,75
2018-01-24 01:00,16,70
2018-01-24 04:00,16,60
2018-01-24 07:00,18,80
2018-01-24 10:00,17,80
2018-01-24 13:00,10,65
2018-01-24 16:00,7,45
2018-01-24 19:00,10,45
2018-01-24 22:00,11,70
2018-01-25 01:00,14,85
2018-01-25 04:00,17,105
2018-01-25 07:00,20,115
2018-01-25 10:00,22,120
2018-01-25 13:00,10,125
2018-01-25 16:00,6,95
2018-01-25 19:00,7,75
2018-01-25 22:00,9,75
2018-01-26 01:00,11,85
2018-01-26 04:00,14,85
2018-01-26 07:00,19,85
2018-01-26 10:00,23,95
2018-01-26 13:00,15,100
2018-01-26 16:00,11,90
2018-01-26 19:00,15,100
2018-01-26 22:00,17,95
2018-01-27 01:00,20,110
2018-01-27 04:00,21,115
2018-01-27 07:00,19,135
2018-01-27 10:00,15,130
2018-01-27 13:00,13,140
2018-01-27 16:00,9,155
2018-01-27 19:00,8,175
2018-01-27 22:00,5,195
2018-01-28 01:00,3,180
